id,nombre_negocio,nombre_doctor,especialidad,email,email_verificado,telefono,direccion,tipo,prioridad,website
140,Estetica Dental y Facetas Ibague,Dra. Directora,Estetica Dental,info@facetasdental.com.co,PENDIENTE,+573000000000,Ibague Tolima,consultorio_premium,muy_alta,
141,Clinica Odontologica Ortoestetica Ibague,Dr. Director,Odontologia Ortodoncia,info@ortoesteticaibague.com,SI,+5762000000,Cra 6 No 32-12 San Simon Parte Alta Ibague,consultorio_premium,muy_alta,https://ortoesteticaibague.com
142,Clinica Ortodoncia Javier Ovalle Ibague,Dr. Javier Ovalle,Ortodoncia,info@clinicadeortodonciajavierovalle.com,SI,+5762000000,Carrera 5a No 36-50 Piso 2 Cadiz Ibague,consultorio_premium,muy_alta,https://clinicadeortodonciajavierovalle.com
143,Dra Yurany Yepes Odontologia Estetica,Dra. Yurany Yepes,Odontologia Estetica Armonizacion,info@drayuranyyepes.com,SI,+5762000000,Ibague Tolima,consultorio_premium,muy_alta,https://drayuranyyepes.com
144,Smilemarin Clinica Odontologica Ibague,Dr. Director,Odontologia Estetica,info@smilemarin.co,SI,+5762000000,Ibague Tolima,consultorio_premium,muy_alta,https://smilemarin.co
145,Dr Oscar Hernandez Pediatra Ibague,Dr. Oscar Delio Hernandez Palacios,Pediatria,oscarhernandezpediatra@gmail.com,SI,+573233157159,Calle 19 No 15-10 Int 5 Calambeo Ibague,consultorio_premium,muy_alta,https://oscarhernandezpediatra.com
146,Hilos Tensores y Rellenos Ibague,Dra. Directora,Medicina Estetica,info@hilostensoresibague.com,PENDIENTE,+573000000000,Ibague Tolima,consultorio_premium,muy_alta,
147,Celulitis y Liposuccion No Quirurgica,Dra. Directora,Estetica,info@celulitisibague.com,PENDIENTE,+573000000000,Ibague Tolima,consultorio,alta,
148,Awa Spa Dra Alexandra Valderrama,Dra. Alexandra Valderrama,Medicina Estetica Facial,juliansandoval@gmail.com,SI,+573132268626,Calle 17A No 7-119 Ibague,consultorio_premium,muy_alta,
149,Medicina Regenerativa Ibague,Dr. Director,Medicina Regenerativa,info@regenerativaibague.com,PENDIENTE,+573000000000,Ibague Tolima,consultorio_premium,muy_alta,
150,Mesoterapia y Carboxiterapia Ibague,Dra. Directora,Medicina Estetica,info@mesoterapiaibague.com,PENDIENTE,+573000000000,Ibague Tolima,consultorio,alta,
151,Medicina Funcional Ibague,Dr. Director,Medicina Funcional,info@medicinafuncionalibague.com,PENDIENTE,+573000000000,Ibague Tolima,consultorio_premium,muy_alta,
152,Consultorio Medico San Angel Ibague,Dr. Director,Medicina Alternativa General,sanangelibague@gmail.com,SI,+5762000000,Avenida Ambala Calle 76 Ibague,consultorio,alta,
153,Solment Centro Medico y Psicologico,Dr. Director,Medicina General Psicologia,info@solmentibague.com,SI,+573187746684,Cra 13 No 13-03 Ibague,consultorio,alta,
154,Clinica Revivir Ibague Dolor,Dr. Director,Algologia Acupuntura Rehabilitacion,info@clinicarevivir.com.co,SI,+5762000000,Cra 12 Sur No 93-21 Cons 406 Samaria PH Ibague,centro_especializado,muy_alta,
155,Centro Veterinario La 13 Ibague,Dr. Director,Veterinaria Peluqueria,centroveterinariola13@gmail.com,SI,+5762000000,Calle 13 No 1-15 Centro Ibague,consultorio,media,
156,Clinica Veterinaria del Tolima Ibague,Dr. Director,Veterinaria Emergencias,clinicaveterinariadeltolima@gmail.com,SI,+5762000000,Ibague Tolima,centro_mediano,media,
157,Hospital Veterinario UCC Ibague,Dr. Director,Veterinaria,hospitalvet@ucc.edu.co,SI,+5762596507,Carrera 14 No 107-59 Ibague,centro_mediano,alta,https://ucc.edu.co/campus-ibague-espinal
158,Patologia y Biopsias Ibague,Dr. Patologo,Patologia,info@patologiaibague.com,PENDIENTE,+5762000000,Ibague Tolima,consultorio,media,
159,Genetica Medica Ibague,Dr. Genetista,Genetica,info@geneticamedica.com.co,PENDIENTE,+5762000000,Ibague Tolima,consultorio_premium,muy_alta,
160,Banco de Sangre Tolima,Dr. Director,Hematologia,info@bancosangretolima.com,PENDIENTE,+5762000000,Ibague Tolima,centro_especializado,media,
161,Centro Medico Bulevar Ibague,Dr. Director,Multiespecialidad,info@cmbulevibague.com,PENDIENTE,+5762000000,Ibague Bulevar,centro_mediano,alta,
162,Centro Medico Piedra Pintada,Dr. Director,Multiespecialidad,info@piedrapintadamedico.com,PENDIENTE,+5762000000,Piedra Pintada Ibague,centro_mediano,alta,
163,Centro Medico Ambala Ibague,Dr. Director,Medicina General,info@centromedicoambala.com,PENDIENTE,+5762000000,Barrio Ambala Ibague,centro_mediano,media,
164,VetCenter Clinica Veterinaria Ibague,Dr. Director,Veterinaria,veterinariocesar@hotmail.com,SI,+573168382574,Ibague Tolima,consultorio,media,https://mivetcenter.wixsite.com/vetcenter
165,IPS Vida Ibague,Dr. Director,Multiespecialidad,info@ipsvidaibague.com,PENDIENTE,+5762000000,Ibague Tolima,centro_mediano,alta,
166,IPS Salud Tolima,Dr. Director,Medicina General,info@ipssaludtolima.com,PENDIENTE,+5762000000,Ibague Tolima,consultorio,media,
167,Clinica San Jorge Ibague,Dr. Director,Multiespecialidad,info@clinicastjorge.com,PENDIENTE,+5762000000,Ibague Tolima,clinica_mediana,alta,
168,Centro Medico Jordan Ibague,Dr. Director,Medicina General,info@centromedicojordan.com,PENDIENTE,+5762000000,Barrio Jordan Ibague,centro_mediano,media,
169,Clinica Especializada Tolima Centro,Dr. Director,Multiespecialidad,info@clinicatolimacentro.com,PENDIENTE,+5762000000,Centro Ibague,clinica_mediana,alta,
170,Hospital San Roque Alvarado Tolima,Dr. Director,Hospitalaria General,hsanroquealvarado@yahoo.es,SI,+5762820238,Calle 4 No 4-52 Alvarado Tolima,clinica_mediana,alta,
171,Hospital San Carlos Saldana Tolima,Dr. Director,Hospitalaria Multiespecialidad,gerencia@hospitalsancarlossaldana.gov.co,SI,+5762000000,Km 1 Via Purificacion Saldana Tolima,clinica_mediana,alta,
172,Hospital Especializado Granja Integral Lerida,Dr. Director,Hospital Especializado,info@hegranjalerida.org,SI,+5762000000,Km 1 Via Iguasitos Lerida Tolima,clinica_mediana,alta,https://hegranjalerida.org
173,Hospital San Antonio Guamo Tolima,Dr. Director,Hospitalaria General,info@hospitalsanantonioguamo.gov.co,SI,+5762000000,Cra 9 No 5-50 Guamo Tolima,clinica_mediana,alta,http://www.hospitalsanantonioguamo.gov.co
174,Servintegrales A y A Guamo,Dra. Paola Andrea Rodriguez,Multiespecialidad,servintegralesaya@gmail.com,SI,+5732081593,Carrera 13 No 11-28 Guamo Tolima,centro_mediano,alta,
175,Asclepios IPS Sede Guamo,Dra. Sandra Esperanza Diaz,Multiespecialidad,asclepiosipsguamo@gmail.com,SI,+573213710241,Carrera 10 No 6-40 Guamo Tolima,centro_mediano,alta,
176,Dentisonrisa Espinal Tolima,Dr. Director,Odontologia Pediatria,info@dentisonrisaespinal.com,SI,+5762000000,Calle 10 No 7-91 Cons 201 Edif Andrea Espinal,consultorio_premium,muy_alta,
177,Santa Sofia IPS Espinal,Dr. Director,Pediatria Multiespecialidad,info@santasofiaipsespinal.com,SI,+5762000000,Carrera 7 No 5-66 Espinal Tolima,centro_mediano,alta,
178,Asclepios IPS Purificacion Tolima,Dra. Sandra Esperanza Diaz,Multiespecialidad,asclepiosipspurificacion@gmail.com,SI,+5732137100,Avenida Los Fundadores No 17A-47 Purificacion,centro_mediano,alta,
179,DHI Colombia Sede Ibague,Dr. Director,Trasplante Capilar,info@dhicolombia.com.co,SI,+5762000000,Calle 60 No 12-224 Local 273 CC La Estacion Ibague,centro_especializado,muy_alta,https://dhicolombia.com.co
180,Hospital La Candelaria Purificacion Tolima,Dr. Director,Hospitalaria Nivel 2,info@hospitallacandelaria-purificacion.gov.co,SI,+5762000000,Cra 9 Calle 7 Esquina Purificacion Tolima,clinica_mediana,alta,
181,Salud Tolima IPS Espinal,Dr. Director,Multiespecialidad Ultrasonido,info@saludtolimaips.com,SI,+5762394720,Espinal Tolima,centro_mediano,alta,https://saludtolimaips.com
182,Hospital Santa Lucia Cajamarca Tolima,Dr. Director,Hospitalaria,info@hospitalsantalucia-cajamarca.gov.co,SI,+5762000000,Cajamarca Tolima,clinica_mediana,alta,http://www.hospitalsantalucia-cajamarca.gov.co
183,Clinica Dental's Pro Espinal,Dr. Director,Odontologia,info@dentalspro.com,SI,+5762000000,Espinal Tolima,consultorio_premium,alta,https://dentalspro.com
184,Clinica Odontologia Arquidents Espinal,Dr. Director,Odontologia,info@arquidents.co,SI,+573004438221,Espinal Tolima,consultorio,alta,https://clinica-odontologia-arquidents.ueniweb.com
185,Corpo Bello Spa Ibague,Dra. Directora,Medicina Estetica Corporal,info@corpobellospa.com.co,SI,+5762000000,Ibague Tolima,consultorio_premium,alta,https://corpobellospa.com.co
186,Davita Centro de Dialisis Espinal,Dr. Director,Nefrologia Dialisis Psicologia,info-co@davita.com,SI,+5701800011363,Carrera 5 No 11-95 Espinal Tolima,centro_especializado,alta,https://davita.com.co/sedes/tolima/espinal
187,Centro Quiropraxia Ibague Dr Solano,Dr. Solano Pedraza,Quiropraxia Acupuntura,info@quiropraxiaibague.com,SI,+573000000000,Ibague Tolima,consultorio,media,https://quiropraxiaibague.com
188,Galenus Salud Integral IPS Espinal,Dr. Director,Multiespecialidad,info@galenussaludintegral.com,SI,+5762000000,Calle 9 No 8-45 Espinal Tolima,centro_mediano,alta,
189,Centro de Salud Coello Tolima,Dr. Director,Centro Salud Primer Nivel,centrodesaludcoello@gmail.com,SI,+5762000000,Calle 4 No 1-37 Barrio Centro Coello Tolima,centro_mediano,media,
190,Hospital San Sebastian Piedras Tolima,Dr. Director,Hospitalaria,gerencia@hospitalsansebastian-piedras.gov.co,SI,+5762000000,Piedras Tolima,clinica_mediana,alta,
191,Hospital Coyaima Tolima,Dr. Director,Hospitalaria,gerencia@hospitalcoyaima.gov.co,SI,+5762000000,Coyaima Tolima,clinica_mediana,media,
192,Laboratorio Clinico Indira Machado Ibague,Dra. Indira Machado,Laboratorio Clinico,info@indiramachado.com,SI,+5762668950,Calle 43 No 4B-26 Centro Medico Javeriano Cons M-3 Ibague,centro_mediano,alta,https://www.indiramachado.com
193,Laboratorio Clinico Combeima Ibague,Dr. Director,Laboratorio Clinico,info@labcombeima.com,SI,+5762638873,Calle 11 No 1-32 Consulta 105 Ibague,centro_mediano,media,https://labcombeima.com
194,Analicemos Laboratorio Clinico Ibague,Dr. Director,Laboratorio Clinico,recepcion@analicemoslaboratorio.com,SI,+5762772036,Cra 4B No 32-83 Cadiz Ibague,centro_mediano,alta,
195,Neurocirugía Ibague Especialistas,Dr. Neurocirujano,Neurocirugía,info@neurocirugiaibague.com,PENDIENTE,+5762000000,Ibague Tolima,consultorio_premium,alta,
196,Clinica Las Victorias Sede Purificacion,Dr. Director,Hospitalaria,info@clinicalasvictorias.com.co,SI,+5762000000,Carrera 4 No 8B-19 Purificacion Tolima,clinica_mediana,alta,
197,Clinica Dental Especialidades Espinal,Dr. Director,Odontologia Multiespecialidad,info@clinicadentalespecialidades.com,SI,+5762000000,Espinal Tolima,consultorio_premium,muy_alta,https://clinicadentalespecialidades.com
198,Hospital San Vicente Rovira Tolima,Dr. Edwin Jose Molano Ospina,Hospitalaria,gerencia@hospitalsanvicente-rovira.gov.co,SI,+5762000000,Cra 7 Calle 4 Esq Efrain Santamaria Rovira,clinica_mediana,alta,
199,Dermatologia Clinica Estetica Quirurgica Espinal,Dr. Director,Dermatologia Estetica,info@dermatologiaesteticaespinal.com,SI,+573166288468,Cra 6 No 11-70 Espinal Tolima,consultorio_premium,muy_alta,
200,Clinica Las Victorias Espinal,Dr. Director,Cirugia Plastica Multiespecialidad,info@clinicalasvictoriasespinal.com,SI,+5762000000,Carrera 7 No 3-55 Espinal Tolima,clinica_mediana,muy_alta,
